Año;Avg_Temp
2006;13.127255615195736032
2007;12.725821336481618896
2008;13.025590373193192410
2009;13.528708465646696588
2010;13.103897043970254518
2011;13.486953994650063203
2012;13.598545567580323121
2013;12.985605320007613353
2014;13.539658039348084875
2015;13.881896542119954395
2016;13.003856508347086494
2017;13.731322385843882936
2018;13.472668950591858767
2019;13.657754784714613479
2020;13.551454806537664359
2021;13.645181095713202769
2022;13.417798480431419091
2023;13.699359453284730452
2024;13.650115454809604567
2025;13.798224984745877043
2026;13.690236390597529794
2027;13.930248747047084113
2028;13.999307759601123816
2029;13.806215476881429632
2030;14.031121244257534576
2031;13.728479194791543789
2032;13.703664733996074199
2033;13.920605971344403961
2034;14.019274879939169247
2035;14.341110837029234485
2036;14.188512197676528239
2037;14.296283168740981485
2038;14.421608434774790815
2039;14.060447862126113128
2040;14.477625839890358074
2041;14.504453923372774266
2042;14.620197386115228960
2043;14.421177969854406482
2044;14.444973434859850593
2045;14.603773254405764574
2046;14.879244004581328628
2047;14.504590399296044445
2048;14.713667345514646601
2049;14.755821803854187964
2050;15.021280301223194680
2051;14.921451146823047579
2052;14.964878944776603894
2053;14.930057658562875707
2054;15.257386532097495284
2055;14.925163942492319913
2056;15.246450530649828725
2057;15.272725833169406972
2058;15.523690520884246215
2059;15.345597091623654422
2060;15.512778937916266146
2061;15.507858145536699159
2062;15.658008127364907382
2063;15.696952107536281269
2064;15.640447791379072955
2065;15.564240213510728175
2066;15.607448105302516010
2067;15.856769704838732493
2068;15.867293136346837332
2069;16.047599806561046960
2070;16.125662454237631136
2071;16.051000920514857520
2072;15.838338895476433943
2073;16.196641011768809662
2074;16.215976578741599395
2075;16.443706369828648681
2076;16.233410979150893896
2077;16.357346362911282816
2078;16.483260323186558385
2079;16.719100768071535141
2080;16.611453411305664561
2081;16.745649473065577511
2082;16.908688098007504302
2083;16.839902875898743764
2084;16.766331121942612876
2085;16.879801311082511476
2086;16.894502745778527811
2087;16.952561792097352507
2088;17.261856833953843863
2089;17.054457235419711299
2090;16.832979231336540995
2091;17.418601889838433238
2092;17.244594878734887827
2093;17.330632393113720112
2094;17.475586292303128270
2095;17.481723689636417556
2096;17.109843365378133873
2097;17.716996153040508642
2098;17.457413248299640376
2099;17.720937146534022895
2100;17.454805785836028517
