Año;Maxima Amplitud
2006;17.479875
2007;16.85967045454545
2008;17.030068181818184
2009;17.50060227272727
2010;16.832670454545454
2011;17.240045454545456
2012;17.016636363636362
2013;16.899409090909096
2014;17.333772727272727
2015;17.04546590909091
2016;16.705738636363634
2017;17.380750000000003
2018;16.832670454545454
2019;17.31603409090909
2020;17.467170454545457
2021;17.05406818181818
2022;17.14425
2023;17.373818181818184
2024;17.517693181818178
2025;16.916704545454547
2026;16.868738636363638
2027;16.96575
2028;17.119761363636364
2029;17.593920454545454
2030;16.891375
2031;17.083693181818184
2032;16.55657342657343
2033;16.84328409090909
2034;16.826500000000003
2035;17.11243181818182
2036;17.36238636363636
2037;17.32196590909091
2038;16.88439772727273
2039;17.37101136363636
2040;17.3615
2041;17.984170454545453
2042;16.536181818181817
2043;17.203647727272728
2044;17.329284090909088
2045;17.352556818181817
2046;17.209965909090908
2047;17.722454545454546
2048;17.112602272727273
2049;16.80680681818182
2050;17.271204545454548
2051;17.149818181818183
2052;17.134613636363635
2053;17.07918181818182
2054;17.248772727272726
2055;17.08335227272727
2056;17.01707954545455
2057;17.92553409090909
2058;16.99359090909091
2059;17.008250000000004
2060;17.328647727272728
2061;17.157522727272728
2062;17.435715909090906
2063;16.892943181818186
2064;17.063318181818182
2065;16.802511363636363
2066;17.14782954545455
2067;16.84636363636364
2068;16.93928409090909
2069;17.15670454545454
2070;17.082977272727277
2071;17.154102272727272
2072;17.013897727272727
2073;17.002374999999997
2074;17.175170454545455
2075;16.720839160839162
2076;16.897011363636363
2077;17.0105
2078;17.38255681818182
2079;16.889465909090912
2080;16.92332954545455
2081;16.655250000000002
2082;17.08878409090909
2083;17.17681818181818
2084;17.197431818181816
2085;17.262999999999998
2086;17.153738636363638
2087;16.651545454545456
2088;17.273295454545455
2089;16.828500000000002
2090;17.106840909090913
2091;16.99634090909091
2092;16.67257954545455
2093;16.865397727272725
2094;16.91846590909091
2095;16.82184090909091
2096;16.87979545454545
2097;17.033670454545454
2098;17.006693181818182
2099;16.986409090909095
2100;17.007314685314686
