Año;Variación
2007;-0.11127842355337592
2008;0.14523760325387158
2009;-0.013765292007768437
2010;-0.30871934027274506
2011;0.3725049894633816
2012;-0.0012239325248817323
2013;-0.08861397971968188
2014;-0.05351697148617518
2015;0.4055766273768775
2016;-0.31340768831187127
2017;0.021174562270127595
2018;0.2422845034893406
2019;0.21365011304779458
2020;-0.2789048334625601
2021;-0.08208662305079706
2022;0.14350682583545726
2023;0.19582295419354345
2024;-0.42855716134494415
2025;0.365945885157533
2026;0.06163251833851646
2027;0.08689733938776456
2028;-0.03350455639433392
2029;-0.057602415945604335
2030;-0.07422183045169284
2031;0.5065167834125983
2032;-0.2004213776781789
2033;-0.07601239712396612
2034;-0.012372069132705832
2035;0.03067595192106154
2036;0.4067874961742426
2037;-0.30362757930459594
2038;0.4447180192035791
2039;0.19562329680847945
2040;-0.5016020695943304
2041;0.29865937278061594
2042;0.2787326074323282
2043;-0.31009301974627057
2044;0.04830631292507803
2045;0.07893089115668239
2046;-0.40414203081304834
2047;0.27909426229572176
2048;0.044118568991649454
2049;-0.27942234245552555
2050;-0.10486560781568599
2051;0.3866716299325681
2052;-0.07729623671020036
2053;0.13686608023753166
2054;0.0949615635344685
2055;0.4534330814067218
2056;-0.3356189900653277
2057;-0.2488615045352809
2058;-0.09572229177631897
2059;0.20575537717490455
2060;0.06842291189790295
2061;0.13885893214850853
2062;0.227158145757695
2063;-0.13071969763827163
2064;-0.3070083778688133
2065;0.10534703735280893
2066;0.1806132804275702
2067;-0.06804060682541113
2068;-0.4069805593894156
2069;0.3220826708336393
2070;-0.07398954951858094
2071;0.4237680481424917
2072;0.09780729522127274
2073;-0.6604330602772297
2074;0.4461897936069299
2075;0.14358457834728178
2076;-0.3544644005205715
2077;0.23867179943046857
2078;0.2010962828921734
2079;-0.17988762583462758
2080;0.2553343906928287
2081;-0.2692896647366627
2082;-0.13365240172293724
2083;0.1634558122405103
2084;0.046584867331583624
2085;-0.46355087986687415
2086;0.7334967155464405
2087;-0.3063676255616059
2088;-0.04747417319945768
2089;-0.13502353900097575
2090;0.08173699554533798
2091;-0.0977185769539588
2092;0.3781630621661929
2093;-0.07995903520077796
2094;0.14197576307541482
2095;-0.16556772535540176
2096;0.08679769764478706
2097;-0.20621886949489365
2098;0.10748871791571091
2099;-0.21109503204289126
2100;0.28172377446702157
