Año;Temp_Max
2006;34.05404195804197
2007;32.82986363636364
2008;33.54993181818182
2009;35.46018181818182
2010;34.56537500000001
2011;34.15927272727273
2012;34.37365909090909
2013;33.44334090909091
2014;33.56128409090909
2015;35.13822727272727
2016;33.06035227272727
2017;34.39590909090909
2018;33.752215909090914
2019;33.63085227272728
2020;34.92963636363636
2021;33.92189772727273
2022;33.72566433566433
2023;35.803681818181815
2024;35.075772727272735
2025;33.42430681818182
2026;34.93161363636364
2027;35.364590909090914
2028;34.5321590909091
2029;34.494670454545464
2030;35.86363636363636
2031;34.729681818181824
2032;34.609566433566435
2033;34.238113636363636
2034;34.145681818181814
2035;35.57207954545454
2036;34.946079545454545
2037;35.23584090909091
2038;35.363818181818175
2039;35.79869318181819
2040;35.228840909090906
2041;34.968409090909084
2042;34.555
2043;35.322034090909085
2044;35.80023863636364
2045;35.55381818181818
2046;36.21480681818182
2047;35.22062499999999
2048;36.681874999999984
2049;34.91860227272728
2050;35.49497727272727
2051;36.09404195804196
2052;36.723818181818174
2053;35.767227272727276
2054;36.88968181818181
2055;36.217068181818185
2056;35.676534090909094
2057;36.666
2058;36.88704545454545
2059;36.622840909090904
2060;37.28969318181818
2061;37.10198863636363
2062;36.620897727272734
2063;36.87330681818181
2064;36.16477272727273
2065;36.870625
2066;36.79234090909091
2067;36.51753409090909
2068;36.98773426573426
2069;37.25035227272728
2070;37.09801136363637
2071;37.01436363636363
2072;36.82994318181818
2073;37.095431818181815
2074;36.96327272727273
2075;37.59930681818181
2076;37.417943181818174
2077;37.78792045454546
2078;37.103375
2079;37.86131818181817
2080;37.509738636363636
2081;37.02953409090908
2082;37.25610227272727
2083;36.95042045454546
2084;37.65780681818181
2085;37.63644318181818
2086;38.113625000000006
2087;37.849409090909084
2088;37.774636363636354
2089;37.89839160839161
2090;38.04385227272727
2091;37.898102272727265
2092;37.44310227272727
2093;37.95673863636364
2094;37.79748863636364
2095;38.15234090909092
2096;37.66661363636363
2097;38.010000000000005
2098;38.302215909090904
2099;38.318636363636365
2100;38.153398601398614
