Año;Avg_Preci
2006;1.4136086310949323
2007;1.4224647380017241
2008;1.4507882626708446
2009;1.53632664287767
2010;1.4712903486924036
2011;1.2821766931698437
2012;1.195624302450737
2013;1.4910851446498707
2014;1.2842621970495258
2015;1.3534231224255195
2016;1.689260666246322
2017;1.4473237163521415
2018;1.3999811260657151
2019;1.4781242432225308
2020;1.2790847771536293
2021;1.3162618234505221
2022;1.563036665389405
2023;1.4156105350129318
2024;1.3242819891856776
2025;1.2597410623622953
2026;1.503317607050484
2027;1.3760310326659644
2028;1.23940791505853
2029;1.3511693792508865
2030;1.3124302663090335
2031;1.36509982277996
2032;1.5845258890926923
2033;1.286421163425615
2034;1.5270572085448797
2035;1.2566802016476675
2036;1.2715588130676245
2037;1.3415368378197146
2038;1.3486022775170035
2039;1.2706666970016287
2040;1.3497414714611433
2041;1.4808341004885524
2042;1.3172641321007759
2043;1.3688162323977393
2044;1.3123876165501167
2045;1.180532163042437
2046;1.151578867707635
2047;1.2157132675543634
2048;1.2904084562523088
2049;1.2785131142829773
2050;1.4942223177507423
2051;1.3490728829389786
2052;1.3111898996267848
2053;1.2640723393045314
2054;1.1879722459047803
2055;1.3183944031995403
2056;1.4213794726903335
2057;1.2028928154037746
2058;1.2180007663569308
2059;1.3506489893667977
2060;1.2118945455500783
2061;1.1633123024236038
2062;1.1983436823450524
2063;1.1810947432704282
2064;1.3267807472582063
2065;1.3255555536928825
2066;1.275219707347447
2067;1.2754375323306826
2068;1.2346071633739666
2069;1.390371311907271
2070;1.2375454401762622
2071;1.1412921400517289
2072;1.1979265990612302
2073;1.2192827761279814
2074;1.2257760513459146
2075;1.2590623024236034
2076;1.13465308332378
2077;1.085213657917425
2078;1.0778213957275602
2079;1.1379978110930165
2080;1.3215810223929076
2081;1.1690032139093782
2082;0.802538916665102
2083;1.2219037767027494
2084;1.172426953277257
2085;1.017611500470636
2086;1.2470211622022995
2087;1.255626968579366
2088;1.3916036805231171
2089;1.2059482809975268
2090;1.3187317870485677
2091;1.1015592417856117
2092;1.252078845746826
2093;1.1390920600730328
2094;1.0042057261231918
2095;1.1100159186703706
2096;1.1853628162660086
2097;1.3028158514531867
2098;1.0139920586263051
2099;1.1635568852380498
2100;1.0002038126257304
